,,,,,Dry Run of Report Card on State Election Procedures - send corrections to card@yrr.info,,,,,,,,,,
,,Election Success & Transparency,,,,Absentee Voting,,,,,,Checking Election Results,,,
State,State Grade,Do Votes Have a Paper Trail?,"Turnout, % of Voting-age Citizens",Nonpartisan or Bipartisan Redistricting?,Release Copies of Ballots for Public Checking?,Good Data Integrity for Mailing Ballots?,Vote by Mail with No Specific Reason?,Mail Application or Ballot to All?,Process Ballots before Election Day?,How Many Days after Election for Voters to Cure Signature Problems?,"2018 Absentee Ballots Counted, % of Received","Hand Tallies, to Check Computer Tallies?",Adequate Sample to Check Computer Tallies?,Number of Contests Checked ,Total Score
,"Scoring System, bigger numbers are better","5-All hand-marked ballots except up to 15% for disabilities and overseas.
3-Computers mark 15% or more of ballots (BMD)
1-Over 15% lack any paper trail. ",1-5-Proportional to turnout,"5-Nonpartisan or Bipartisan commissions draw districts.
4-Staff
3-Partisan congressional districts, nonpartisan local
1-Voting districts drawn by legislative majority.","5-Release copies of Ballots & Images to Public.
3-Unknown. 
2-No ballots, Images unknown.
1-Neither ballots nor images. ","5-National Vote at Home Inst. finds good data integrity.
1-Poor data integrity on mailing ballots","5-Yes
4-In 2020, future unknown
1-No","5-Either Application or Ballot
4-Ballot in 2020
3-County option or unknown
1-Neither","5-Yes
1-No","5-Week or more after election day.
3-5-Two to seven days after election day.
2-Cure by election day. 
1-No cure allowed.","5-Counts 85%-99%, though experts would accept at most 90%.
3-Counts 99% or more, far more lenient than expert signature reviewers.
2-Counts 85% or less, many ballots rejected.
1-No signature checks","5-Handcount.
4-Re-run on different machines.
3-Big omissions.
2-Re-run on same machines.
1-No checking.","5-Statistical sample.
3-Some precincts or machines, but not statistically reliable for small contests.
1-No audit or big omissions","5-All contests checked.
2-3-One to six contests checked
1-No checking.  ",21 to 58
,,,,,,,,,,,,,,,
Colorado ,A Colorado ,05%bmd,0.764,Staff,Yes after recount,Yes,Yes,Ballot,Yes,8,99.22,Hand count,Statistical,1, 	58.4 
Rhode Island ,A Rhode Island ,00%bmd,0.657,No,Yes,Yes,Yes,Application,Yes,7,97.15,Hand count,Statistical,1, 	55.7 
Ohio ,A Ohio ,68%bmd,0.674,Officials,Yes after recount,Yes,Yes,Application,Yes,7,98.78,Hand count,0.05,3, 	52.4 
Utah ,A Utah ,11%bmd,0.692,Gov. names tiebreaker,No ballots,Yes,Yes,Ballot,Yes,6,99.1,Hand count,0.01,All, 	51.9 
Washington ,A Washington ,01%bmd,0.757,Yes,No ballots or images,Yes,Yes,Ballot,Yes,21,98.46,Not required,0.01,1, 	51.3 
Montana ,A Montana ,21%bmd,0.731,"Yes, 1 CD",Yes,Yes,Yes,Ballot at County Option,Yes,0,99.63,Hand count,0.05,4, 	50.5 
California ,A California ,34%bmd,0.685,Yes,No ballots,Yes,Yes,Ballot in 2020,Yes,8,100.04,"Hand count, ex. ballots tallied after election day",0.01,All, 	49.2 
Illinois ,A Illinois ,57%bmd,0.67,No,No ballots,Yes,Yes,Application,Yes,14,103.06,Different machine,0.05,All, 	48.9 
Nevada ,A Nevada ,91%bmd,0.654,No,No known decision,Yes,Yes,Ballot in 2020,Yes,7,97.42,Machines or by hand ,0.02,All, 	48.7 
Massachusetts ,A Massachusetts ,39%bmd,0.721,No,No known decision,Yes,2020,Application,Yes,0,94.23,Hand count,0.03,6, 	47.7 
Oregon ,A Oregon ,00%bmd,0.755,No,No known decision,Yes,Yes,Ballot,Yes,14,99.1433384744074,"Hand count, except small precincts ",0.1,2, 	47.5 
District of Columbia ,A District of Columbia ,68%bmd,0.641,"No, 1CD",No known decision,Yes,Yes,Ballot,Yes,No cure,96.45,Hand count,0.05,4, 	46.1 
New Jersey ,A New Jersey ,"88%dre,00%bmd",0.753,Yes,No known decision,Yes,Yes,Ballot in 2020,Yes,15,96.7,No audit,,0, 	45.2 
Hawaii ,A Hawaii ,51%bmd,0.575,Yes,No known decision,Yes,Yes,Ballot,Yes,5,5.62,"Hand count, except early&absentee ballots ",0.1,3, 	45.0 
Georgia ,A Georgia ,60bmd,0.677,No,No ballots or images,Yes,Yes,Neither,Yes,3,90.19,Hand count,Statistical,1, 	44.4 
Iowa ,A Iowa ,38%bmd,0.732,Yes,No known decision,Yes,Yes,Application,No,0,No signature checks,Hand count,?,1, 	43.9 
Florida ,A Florida ,19%bmd,0.717,No,Yes,Yes,Yes,Neither,Yes,2,99.26,Different machine,0.02,1, 	43.7 
New Mexico ,B New Mexico ,00%bmd,0.613,No,No ballots,Yes,Yes,App at County Option,Yes,No cure,No signature checks,Hand count,Statistical,4, 	42.6 
Maryland ,B Maryland ,41%bmd,0.711,No,Yes after recount,No,Yes,Application,Yes,No cure,No signature checks,Different machine,1,All, 	42.6 
Missouri ,B Missouri ,05%bmd,0.657,Staff,No known decision,Yes,2020,Neither,Yes,No cure,No signature checks,Hand count,0.05,5, 	42.5 
Minnesota ,B Minnesota ,37%bmd,0.8,No,No ballots,Yes,Yes,Neither,Yes,0,No signature checks,Hand count,0.03,2, 	40.2 
Arkansas ,B Arkansas ,15%bmd,0.561,Officials,No ballots,No,2020,Neither,Yes,5,98.7,Hand count,0.02,5, 	40.2 
Michigan ,B Michigan ,32%bmd,0.739,Yes,Yes,Yes,Yes,Application,No,No cure,99.43,No audit,,0, 	40.0 
